id,created_at,ranking_position,title,artist,streams,genre,lyrics,album,year,duration_seg,language_variant,source,url_source,extra_data,lyrics_status,artist_gender
1,2026-03-05 18:56:08.534161+00,1.0,en la granja de mi tio,heykids,425847.0,infantil,,canciones infantiles,,184.0,es,deezer,https://www.deezer.com/track/2458668675,"{""pais"":""PY"",""posicion"":1,""es_infantil"":true,""deezer_album_id"":489143175,""deezer_track_id"":2458668675,""deezer_artist_id"":90040862,""artistas_secundarios"":[]}",completed,
2,2026-03-05 18:56:10.730938+00,2.0,duermetenino,musicanocheto,379828.0,reggaeton,,canciones de cuna y rimas infantiles,,102.0,es,deezer,https://www.deezer.com/track/469372882,"{""pais"":""PY"",""posicion"":9,""es_infantil"":true,""deezer_album_id"":58349972,""deezer_track_id"":469372882,""deezer_artist_id"":9807946,""artistas_secundarios"":[]}",error,
3,2026-03-05 18:56:12.757272+00,3.0,punaladas,lauta,604648.0,reggaeton,,punaladas,,139.0,es,deezer,https://www.deezer.com/track/3662009192,"{""pais"":""PY"",""posicion"":3,""es_infantil"":false,""deezer_album_id"":858544092,""deezer_track_id"":3662009192,""deezer_artist_id"":12205158,""artistas_secundarios"":[]}",completed,
4,2026-03-05 18:56:14.587758+00,4.0,la lechuza,el payaso plim plim,485905.0,rock,,las canciones de plim plim vol 2,,123.0,es,deezer,https://www.deezer.com/track/2256030397,"{""pais"":""PY"",""posicion"":4,""es_infantil"":false,""deezer_album_id"":434369707,""deezer_track_id"":2256030397,""deezer_artist_id"":282715661,""artistas_secundarios"":[]}",completed,
5,2026-03-05 18:56:16.579371+00,5.0,la villa,ryan castro,860907.0,reggaeton,,hopi sende,,194.0,es,deezer,https://www.deezer.com/track/3613707422,"{""pais"":""PY"",""posicion"":5,""es_infantil"":false,""deezer_album_id"":841932862,""deezer_track_id"":3613707422,""deezer_artist_id"":11815065,""artistas_secundarios"":[]}",completed,
6,2026-03-05 18:56:18.447624+00,6.0,estrellita donde estas,el payaso plim plim,550686.0,infantil,,las canciones de plim plim vol 2,,111.0,es,deezer,https://www.deezer.com/track/2256030407,"{""pais"":""PY"",""posicion"":6,""es_infantil"":true,""deezer_album_id"":434369707,""deezer_track_id"":2256030407,""deezer_artist_id"":282715661,""artistas_secundarios"":[]}",completed,
9,2026-03-05 18:56:23.874051+00,9.0,baile inolvidable,bad bunny,971935.0,reggaeton,,debi tirar mas fotos,,367.0,es,deezer,https://www.deezer.com/track/3171003001,"{""pais"":""PY"",""posicion"":9,""es_infantil"":false,""deezer_album_id"":693008911,""deezer_track_id"":3171003001,""deezer_artist_id"":10583405,""artistas_secundarios"":[]}",completed,
10,2026-03-05 18:56:25.716596+00,10.0,tu jardin con enanitos,roze oficial,563736.0,reggaeton,,tu jardin con enanitos,,175.0,es,deezer,https://www.deezer.com/track/3369144461,"{""pais"":""PY"",""posicion"":10,""es_infantil"":true,""deezer_album_id"":757459181,""deezer_track_id"":3369144461,""deezer_artist_id"":103896562,""artistas_secundarios"":[]}",completed,
11,2026-03-05 18:56:27.498047+00,11.0,dtmf,bad bunny,981279.0,reggaeton,,debi tirar mas fotos,,237.0,es,deezer,https://www.deezer.com/track/3171003131,"{""pais"":""PY"",""posicion"":11,""es_infantil"":false,""deezer_album_id"":693008911,""deezer_track_id"":3171003131,""deezer_artist_id"":10583405,""artistas_secundarios"":[]}",completed,
12,2026-03-05 18:56:29.280763+00,12.0,cuando no era cantante,el bogueto,755342.0,reggaeton,,cuando no era cantante,,327.0,es,deezer,https://www.deezer.com/track/3703400922,"{""pais"":""PY"",""posicion"":12,""es_infantil"":false,""deezer_album_id"":873052852,""deezer_track_id"":3703400922,""deezer_artist_id"":198777307,""artistas_secundarios"":[]}",completed,
